certification_ref,provider,certification_name,exam_code,market_status,demand_score,obsolescence_risk,reviewed_at,valid_until,is_active,source,notes
AWS|AWS Certified AI Practitioner|AIF-C01,AWS,AWS Certified AI Practitioner,AIF-C01,STABLE,60,30,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
AWS|AWS Certified Data Engineer – Associate|DEA-C01,AWS,AWS Certified Data Engineer – Associate,DEA-C01,STABLE,60,30,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
AWS|AWS Certified Machine Learning Engineer – Associate|MLA-C01,AWS,AWS Certified Machine Learning Engineer – Associate,MLA-C01,STABLE,60,30,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
AWS|AWS Certified Generative AI Developer – Professional|AIP-C01,AWS,AWS Certified Generative AI Developer – Professional,AIP-C01,GROWING,90,15,2026-05-07,2026-12-31,true,Market research (internal),Recién lanzada/beta 2025; alto foco GenAI (ver research/certifications-upcoming.csv)
AWS|AWS Certified Machine Learning – Specialty|MLS-C01,AWS,AWS Certified Machine Learning – Specialty,MLS-C01,SUNSET,35,85,2026-05-07,2026-12-31,true,Vendor retirement (research),Retira 31/03/2026 (ver research/certifications-retiring.csv)
GCP|Generative AI Leader|,GCP,Generative AI Leader,,GROWING,85,20,2026-05-07,2026-12-31,true,Market research (internal),Lanzada mayo 2025; foundational no técnica (ver research/certifications.csv)
GCP|Associate Data Practitioner|,GCP,Associate Data Practitioner,,GROWING,75,25,2026-05-07,2026-12-31,true,Market research (internal),Lanzada ene 2025; foco data/analytics/ML base (ver research/certifications.csv)
GCP|Professional Data Engineer|,GCP,Professional Data Engineer,,STABLE,70,25,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
GCP|Professional Machine Learning Engineer|,GCP,Professional Machine Learning Engineer,,STABLE,70,25,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
GCP|Professional Cloud Database Engineer|,GCP,Professional Cloud Database Engineer,,STABLE,60,30,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Azure|Azure Data Fundamentals|DP-900,Azure,Azure Data Fundamentals,DP-900,STABLE,60,20,2026-05-07,2026-12-31,true,Default (pending review),Fundamentals (no expira) pero STABLE pendiente revisión
Azure|Azure AI Fundamentals|AI-900,Azure,Azure AI Fundamentals,AI-900,DECLINING,45,80,2026-05-07,2026-12-31,true,Vendor retirement (research),Retira Jun 2026 → AI-901 (ver research/certifications-retiring.csv)
Azure|Power BI Data Analyst Associate|PL-300,Azure,Power BI Data Analyst Associate,PL-300,STABLE,65,25,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Azure|Azure Database Administrator Associate|DP-300,Azure,Azure Database Administrator Associate,DP-300,STABLE,60,30,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Azure|Azure Data Scientist Associate|DP-100,Azure,Azure Data Scientist Associate,DP-100,DECLINING,50,85,2026-05-07,2026-12-31,true,Vendor retirement (research),Retira Jun 2026 (reemplazo no anunciado) (ver research/certifications-retiring.csv)
Azure|Azure AI Engineer Associate|AI-102,Azure,Azure AI Engineer Associate,AI-102,SUNSET,55,90,2026-05-07,2026-12-31,true,Vendor retirement (research),Retira Jun 2026 → AI-103 (ver research/certifications-retiring.csv)
Azure|Fabric Analytics Engineer Associate|DP-600,Azure,Fabric Analytics Engineer Associate,DP-600,GROWING,75,25,2026-05-07,2026-12-31,true,Market shift (internal),Reemplaza DP-500; parte de track Fabric (ver research/certifications-retiring.csv)
Azure|Fabric Data Engineer Associate|DP-700,Azure,Fabric Data Engineer Associate,DP-700,GROWING,80,20,2026-05-07,2026-12-31,true,Market shift (internal),Reemplaza DP-203; parte de track Fabric (ver research/certifications-retiring.csv)
Azure|Azure Cosmos DB Developer Specialty|DP-420,Azure,Azure Cosmos DB Developer Specialty,DP-420,STABLE,60,30,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Databricks|Databricks Certified Data Engineer Associate|,Databricks,Databricks Certified Data Engineer Associate,,STABLE,70,25,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Databricks|Databricks Certified Data Engineer Professional|,Databricks,Databricks Certified Data Engineer Professional,,STABLE,70,25,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Databricks|Databricks Certified Machine Learning Associate|,Databricks,Databricks Certified Machine Learning Associate,,STABLE,65,25,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Databricks|Databricks Certified Machine Learning Professional|,Databricks,Databricks Certified Machine Learning Professional,,STABLE,65,25,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Databricks|Databricks Certified Generative AI Engineer Associate|,Databricks,Databricks Certified Generative AI Engineer Associate,,GROWING,80,20,2026-05-07,2026-12-31,true,Market research (internal),Foco GenAI/RAG; alta demanda 2025-2026 (research/certifications.csv)
Databricks|Databricks Certified Associate Developer for Apache Spark|,Databricks,Databricks Certified Associate Developer for Apache Spark,,STABLE,60,35,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Databricks|Databricks Certified Data Analyst Associate|,Databricks,Databricks Certified Data Analyst Associate,,STABLE,60,30,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Databricks|Databricks Certified Platform Administrator|,Databricks,Databricks Certified Platform Administrator,,STABLE,55,30,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Databricks|Databricks Accredited AWS Platform Architect|,Databricks,Databricks Accredited AWS Platform Architect,,STABLE,55,30,2026-05-07,2026-12-31,true,Default (pending review),Accreditation; STABLE pendiente revisión
Databricks|Databricks Accredited Azure Platform Architect|,Databricks,Databricks Accredited Azure Platform Architect,,STABLE,55,30,2026-05-07,2026-12-31,true,Default (pending review),Accreditation; STABLE pendiente revisión
Databricks|Databricks Accredited GCP Platform Architect|,Databricks,Databricks Accredited GCP Platform Architect,,STABLE,55,30,2026-05-07,2026-12-31,true,Default (pending review),Accreditation; STABLE pendiente revisión
Snowflake|SnowPro Associate: Platform|SOL-C01,Snowflake,SnowPro Associate: Platform,SOL-C01,STABLE,60,30,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Snowflake|SnowPro Core|COF-C03,Snowflake,SnowPro Core,COF-C03,STABLE,65,25,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Snowflake|SnowPro Specialty: Gen AI|GES-C01,Snowflake,SnowPro Specialty: Gen AI,GES-C01,GROWING,75,25,2026-05-07,2026-12-31,true,Market research (internal),Foco GenAI con Cortex; growing 2025-2026 (research/certifications.csv)
Snowflake|SnowPro Specialty: Snowpark|SPS-C01,Snowflake,SnowPro Specialty: Snowpark,SPS-C01,STABLE,60,30,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Snowflake|SnowPro Specialty: Native Apps|NAS-C01,Snowflake,SnowPro Specialty: Native Apps,NAS-C01,STABLE,55,35,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
