certification_ref,provider,provider_category,certification_name,exam_code,level,focus_area,price_usd,validity_months,status,exam_platform,official_url,source
AWS|AWS Certified AI Practitioner|AIF-C01,AWS,Cloud,AWS Certified AI Practitioner,AIF-C01,Foundational,AI / GenAI,100,36,Activa,Pearson VUE,https://aws.amazon.com/certification/certified-ai-practitioner/,research/certifications.csv
AWS|AWS Certified Data Engineer – Associate|DEA-C01,AWS,Cloud,AWS Certified Data Engineer – Associate,DEA-C01,Associate,Data Engineering,150,36,Activa,Pearson VUE,https://aws.amazon.com/certification/certified-data-engineer-associate/,research/certifications.csv
AWS|AWS Certified Machine Learning Engineer – Associate|MLA-C01,AWS,Cloud,AWS Certified Machine Learning Engineer – Associate,MLA-C01,Associate,ML / AI / MLOps,150,36,Activa,Pearson VUE,https://aws.amazon.com/certification/certified-machine-learning-engineer-associate/,research/certifications.csv
AWS|AWS Certified Generative AI Developer – Professional|AIP-C01,AWS,Cloud,AWS Certified Generative AI Developer – Professional,AIP-C01,Professional,GenAI / LLMs / Amazon Bedrock,300,36,Activa,Pearson VUE,https://aws.amazon.com/certification/certified-generative-ai-developer-professional/,research/certifications.csv
AWS|AWS Certified Machine Learning – Specialty|MLS-C01,AWS,Cloud,AWS Certified Machine Learning – Specialty,MLS-C01,Specialty,Machine Learning,300,36,Retira 31/03/2026,Pearson VUE,https://aws.amazon.com/certification/certified-machine-learning-specialty/,research/certifications.csv
GCP|Generative AI Leader|,GCP,Cloud,Generative AI Leader,,Foundational,AI / GenAI (no técnica),99,36,Activa,Kryterion,https://cloud.google.com/learn/certification/generative-ai-leader,research/certifications.csv
GCP|Associate Data Practitioner|,GCP,Cloud,Associate Data Practitioner,,Associate,Data Engineering / Analytics / ML,125,36,Activa,Kryterion,https://cloud.google.com/learn/certification/data-practitioner,research/certifications.csv
GCP|Professional Data Engineer|,GCP,Cloud,Professional Data Engineer,,Professional,Data Engineering (BigQuery / Dataflow / Pub/Sub),200,24,Activa,Kryterion,https://cloud.google.com/learn/certification/data-engineer,research/certifications.csv
GCP|Professional Machine Learning Engineer|,GCP,Cloud,Professional Machine Learning Engineer,,Professional,ML / AI / MLOps / Vertex AI,200,24,Activa,Kryterion,https://cloud.google.com/learn/certification/machine-learning-engineer,research/certifications.csv
GCP|Professional Cloud Database Engineer|,GCP,Cloud,Professional Cloud Database Engineer,,Professional,Databases (Cloud SQL / Spanner / Bigtable),200,24,Activa,Kryterion,https://cloud.google.com/learn/certification/cloud-database-engineer,research/certifications.csv
Azure|Azure Data Fundamentals|DP-900,Azure,Cloud,Azure Data Fundamentals,DP-900,Fundamentals,Datos / Analytics,99,,Activa,Pearson VUE,https://learn.microsoft.com/en-us/credentials/certifications/azure-data-fundamentals/,research/certifications.csv
Azure|Azure AI Fundamentals|AI-900,Azure,Cloud,Azure AI Fundamentals,AI-900,Fundamentals,AI / ML / GenAI,99,,Retira Jun 2026,Pearson VUE,https://learn.microsoft.com/en-us/credentials/certifications/azure-ai-fundamentals/,research/certifications.csv
Azure|Power BI Data Analyst Associate|PL-300,Azure,Cloud,Power BI Data Analyst Associate,PL-300,Associate,Analytics / Power BI / DAX,165,12,Activa,Pearson VUE,https://learn.microsoft.com/en-us/credentials/certifications/data-analyst-associate/,research/certifications.csv
Azure|Azure Database Administrator Associate|DP-300,Azure,Cloud,Azure Database Administrator Associate,DP-300,Associate,Database / Azure SQL / SQL Server,165,12,Activa,Pearson VUE,https://learn.microsoft.com/en-us/credentials/certifications/azure-database-administrator-associate/,research/certifications.csv
Azure|Azure Data Scientist Associate|DP-100,Azure,Cloud,Azure Data Scientist Associate,DP-100,Associate,ML / AI / Azure Machine Learning,165,12,Retira Jun 2026,Pearson VUE,https://learn.microsoft.com/en-us/credentials/certifications/azure-data-scientist/,research/certifications.csv
Azure|Azure AI Engineer Associate|AI-102,Azure,Cloud,Azure AI Engineer Associate,AI-102,Associate,AI Services / Azure OpenAI / Agentes,165,12,Retira Jun 2026,Pearson VUE,https://learn.microsoft.com/en-us/credentials/certifications/azure-ai-engineer/,research/certifications.csv
Azure|Fabric Analytics Engineer Associate|DP-600,Azure,Cloud,Fabric Analytics Engineer Associate,DP-600,Associate,Analytics / Microsoft Fabric,165,12,Activa,Pearson VUE,https://learn.microsoft.com/en-us/credentials/certifications/fabric-analytics-engineer-associate/,research/certifications.csv
Azure|Fabric Data Engineer Associate|DP-700,Azure,Cloud,Fabric Data Engineer Associate,DP-700,Associate,Data Engineering / Microsoft Fabric,165,12,Activa,Pearson VUE,https://learn.microsoft.com/en-us/credentials/certifications/fabric-data-engineer-associate/,research/certifications.csv
Azure|Azure Cosmos DB Developer Specialty|DP-420,Azure,Cloud,Azure Cosmos DB Developer Specialty,DP-420,Specialty,NoSQL / Azure Cosmos DB,165,12,Activa,Pearson VUE,https://learn.microsoft.com/en-us/credentials/certifications/azure-cosmos-db-developer-specialty/,research/certifications.csv
Databricks|Databricks Certified Data Engineer Associate|,Databricks,Plataforma de Datos / AI,Databricks Certified Data Engineer Associate,,Associate,Data Engineering / Delta Lake / Spark SQL,200,24,Activa,Webassessor,https://www.databricks.com/learn/certification/data-engineer-associate,research/certifications.csv
Databricks|Databricks Certified Data Engineer Professional|,Databricks,Plataforma de Datos / AI,Databricks Certified Data Engineer Professional,,Professional,Data Engineering / Delta Live Tables / Unity Catalog,200,24,Activa,Webassessor,https://www.databricks.com/learn/certification/data-engineer-professional,research/certifications.csv
Databricks|Databricks Certified Machine Learning Associate|,Databricks,Plataforma de Datos / AI,Databricks Certified Machine Learning Associate,,Associate,ML / MLflow / Feature Store / AutoML,200,24,Activa,Webassessor,https://www.databricks.com/learn/certification/machine-learning-associate,research/certifications.csv
Databricks|Databricks Certified Machine Learning Professional|,Databricks,Plataforma de Datos / AI,Databricks Certified Machine Learning Professional,,Professional,ML en producción / MLflow a escala / Model Serving,200,24,Activa,Webassessor,https://www.databricks.com/learn/certification/machine-learning-professional,research/certifications.csv
Databricks|Databricks Certified Generative AI Engineer Associate|,Databricks,Plataforma de Datos / AI,Databricks Certified Generative AI Engineer Associate,,Associate,GenAI / LLMs / RAG / Prompt Engineering,200,24,Activa,Webassessor,https://www.databricks.com/learn/certification/genai-engineer-associate,research/certifications.csv
Databricks|Databricks Certified Associate Developer for Apache Spark|,Databricks,Plataforma de Datos / AI,Databricks Certified Associate Developer for Apache Spark,,Associate,Spark / DataFrame API / Transformaciones,200,24,Activa,Webassessor,https://www.databricks.com/learn/certification/apache-spark-developer-associate,research/certifications.csv
Databricks|Databricks Certified Data Analyst Associate|,Databricks,Plataforma de Datos / AI,Databricks Certified Data Analyst Associate,,Associate,Analytics / Databricks SQL / Dashboards,200,24,Activa,Webassessor,https://www.databricks.com/learn/certification/data-analyst-associate,research/certifications.csv
Databricks|Databricks Certified Platform Administrator|,Databricks,Plataforma de Datos / AI,Databricks Certified Platform Administrator,,Specialist,Platform Admin / Seguridad / User Management,200,24,Activa,Webassessor,https://www.databricks.com/learn/training/certification,research/certifications.csv
Databricks|Databricks Accredited AWS Platform Architect|,Databricks,Plataforma de Datos / AI,Databricks Accredited AWS Platform Architect,,Specialist,Databricks on AWS / Deployment / Networking,200,24,Activa,Webassessor,https://www.databricks.com/learn/training/certification,research/certifications.csv
Databricks|Databricks Accredited Azure Platform Architect|,Databricks,Plataforma de Datos / AI,Databricks Accredited Azure Platform Architect,,Specialist,Databricks on Azure / Deployment / Networking,200,24,Activa,Webassessor,https://www.databricks.com/learn/training/certification,research/certifications.csv
Databricks|Databricks Accredited GCP Platform Architect|,Databricks,Plataforma de Datos / AI,Databricks Accredited GCP Platform Architect,,Specialist,Databricks on GCP / Deployment / Networking,200,24,Activa,Webassessor,https://www.databricks.com/learn/training/certification,research/certifications.csv
Snowflake|SnowPro Associate: Platform|SOL-C01,Snowflake,Plataforma de Datos,SnowPro Associate: Platform,SOL-C01,Associate,Snowflake Platform / Notebooks / Cortex LLM,100,24,Activa,Pearson VUE,https://learn.snowflake.com/en/certifications/,research/certifications.csv
